scenario,station,service,base_price,optimized_price,price_satisfaction
elderly_growth_8pct,J,助浴,25.0,20.0,1.0
elderly_growth_8pct,J,紧急救助,0.0,0.0,1.0
transition_up,C,助餐,10.0,10.0,1.0
transition_up,C,日间照料,20.0,16.0,1.0
transition_up,C,上门护理,30.0,24.0,1.0
transition_up,C,康复理疗,28.0,28.0,1.0
transition_up,C,助浴,25.0,20.0,1.0
transition_up,C,紧急救助,0.0,0.0,1.0
transition_up,E,助餐,10.0,6.0,1.0
transition_up,E,日间照料,20.0,20.0,1.0
transition_up,E,上门护理,30.0,30.0,1.0
transition_up,E,康复理疗,28.0,28.0,1.0
transition_up,E,助浴,25.0,25.0,1.0
transition_up,E,紧急救助,0.0,0.0,1.0
transition_up,G,助餐,10.0,10.0,1.0
transition_up,G,日间照料,20.0,16.0,1.0
transition_up,G,上门护理,30.0,24.0,1.0
transition_up,G,康复理疗,28.0,28.0,1.0
transition_up,G,助浴,25.0,25.0,1.0
transition_up,G,紧急救助,0.0,0.0,1.0
transition_up,I,助餐,10.0,10.0,1.0
transition_up,I,日间照料,20.0,20.0,1.0
transition_up,I,上门护理,30.0,18.0,1.0
transition_up,I,康复理疗,28.0,22.4,1.0
transition_up,I,助浴,25.0,25.0,1.0
transition_up,I,紧急救助,0.0,0.0,1.0
transition_up,J,助餐,10.0,10.0,1.0
transition_up,J,日间照料,20.0,16.0,1.0
transition_up,J,上门护理,30.0,24.0,1.0
transition_up,J,康复理疗,28.0,22.4,1.0
transition_up,J,助浴,25.0,20.0,1.0
transition_up,J,紧急救助,0.0,0.0,1.0
fixed_cost_up_20pct,C,助餐,10.0,8.0,1.0
fixed_cost_up_20pct,C,日间照料,20.0,20.0,1.0
fixed_cost_up_20pct,C,上门护理,30.0,24.0,1.0
fixed_cost_up_20pct,C,康复理疗,28.0,28.0,1.0
fixed_cost_up_20pct,C,助浴,25.0,25.0,1.0
fixed_cost_up_20pct,C,紧急救助,0.0,0.0,1.0
fixed_cost_up_20pct,E,助餐,10.0,8.0,1.0
fixed_cost_up_20pct,E,日间照料,20.0,20.0,1.0
fixed_cost_up_20pct,E,上门护理,30.0,30.0,1.0
fixed_cost_up_20pct,E,康复理疗,28.0,22.4,1.0
fixed_cost_up_20pct,E,助浴,25.0,25.0,1.0
fixed_cost_up_20pct,E,紧急救助,0.0,0.0,1.0
fixed_cost_up_20pct,G,助餐,10.0,8.0,1.0
fixed_cost_up_20pct,G,日间照料,20.0,20.0,1.0
fixed_cost_up_20pct,G,上门护理,30.0,30.0,1.0
fixed_cost_up_20pct,G,康复理疗,28.0,28.0,1.0
fixed_cost_up_20pct,G,助浴,25.0,15.0,1.0
fixed_cost_up_20pct,G,紧急救助,0.0,0.0,1.0
fixed_cost_up_20pct,I,助餐,10.0,10.0,1.0
fixed_cost_up_20pct,I,日间照料,20.0,20.0,1.0
fixed_cost_up_20pct,I,上门护理,30.0,24.0,1.0
fixed_cost_up_20pct,I,康复理疗,28.0,22.4,1.0
fixed_cost_up_20pct,I,助浴,25.0,25.0,1.0
fixed_cost_up_20pct,I,紧急救助,0.0,0.0,1.0
fixed_cost_up_20pct,J,助餐,10.0,6.0,1.0
fixed_cost_up_20pct,J,日间照料,20.0,20.0,1.0
fixed_cost_up_20pct,J,上门护理,30.0,30.0,1.0
fixed_cost_up_20pct,J,康复理疗,28.0,28.0,1.0
fixed_cost_up_20pct,J,助浴,25.0,20.0,1.0
fixed_cost_up_20pct,J,紧急救助,0.0,0.0,1.0
budget_140,A,助餐,10.0,10.0,1.0
budget_140,A,日间照料,20.0,20.0,1.0
budget_140,A,上门护理,30.0,18.0,1.0
budget_140,A,康复理疗,28.0,22.4,1.0
budget_140,A,助浴,25.0,15.0,1.0
budget_140,A,紧急救助,0.0,0.0,1.0
budget_140,B,助餐,10.0,8.0,1.0
budget_140,B,日间照料,20.0,16.0,1.0
budget_140,B,上门护理,30.0,30.0,1.0
budget_140,B,康复理疗,28.0,28.0,1.0
budget_140,B,助浴,25.0,20.0,1.0
budget_140,B,紧急救助,0.0,0.0,1.0
budget_140,G,助餐,10.0,8.0,1.0
budget_140,G,日间照料,20.0,16.0,1.0
budget_140,G,上门护理,30.0,30.0,1.0
budget_140,G,康复理疗,28.0,28.0,1.0
budget_140,G,助浴,25.0,20.0,1.0
budget_140,G,紧急救助,0.0,0.0,1.0
budget_140,I,助餐,10.0,8.0,1.0
budget_140,I,日间照料,20.0,16.0,1.0
budget_140,I,上门护理,30.0,30.0,1.0
budget_140,I,康复理疗,28.0,28.0,1.0
budget_140,I,助浴,25.0,25.0,1.0
budget_140,I,紧急救助,0.0,0.0,1.0
